RegionID,SizeRank,RegionName,RegionType,StateName,2015-01-31,2015-02-28,2015-03-31,2015-04-30,2015-05-31,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-31,2015-11-30,2015-12-31,2016-01-31,2016-02-29,2016-03-31,2016-04-30,2016-05-31,2016-06-30,2016-07-31,2016-08-31,2016-09-30,2016-10-31,2016-11-30,2016-12-31,2017-01-31,2017-02-28,2017-03-31,2017-04-30,2017-05-31,2017-06-30,2017-07-31,2017-08-31,2017-09-30,2017-10-31,2017-11-30,2017-12-31,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31,2023-01-31,2023-02-28,2023-03-31,2023-04-30,2023-05-31,2023-06-30,2023-07-31,2023-08-31,2023-09-30,2023-10-31,2023-11-30,2023-12-31,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30
102001,0,United States,country,,1242.3553444677207,1250.1304364895298,1261.5336819621862,1270.4843119095399,1280.7503042600317,1288.732003914528,1295.7630289479355,1300.3071687243446,1302.8911099199624,1303.4545837729584,1302.225262048225,1300.6773918240715,1303.2308397616143,1308.8955835848321,1316.2274910111762,1324.95891765161,1334.6395070024575,1344.2521510407637,1349.89959827809,1352.8287786492342,1353.6731622907976,1351.4918533659531,1348.4833408582276,1345.4056553930077,1348.4762771369963,1354.9677200695608,1365.613783548478,1374.7711201832933,1384.305570188974,1391.5513666775862,1396.0660939514714,1396.6769074027047,1394.9231210907346,1391.6481420463504,1389.5817977375293,1389.929720018979,1393.7424265581988,1400.9751239226384,1409.8811285552224,1419.6956994450195,1428.1611677458998,1436.8447511845236,1443.2896978074339,1447.333076361691,1445.9427107890517,1443.0979012759005,1441.4345363328102,1441.449886098864,1445.5360516582869,1451.2327911006862,1461.3159280499717,1470.4091651450099,1480.208467725622,1489.2448353588654,1496.701293343625,1500.2580275556272,1499.2140797261404,1495.4639733740125,1491.9458609452429,1491.5268033607608,1495.6382931356304,1503.6176027013978,1508.6885478137626,1503.1172631227464,1494.106032466707,1488.2943063895402,1489.193780525626,1485.6923823649227,1477.0574689389548,1467.293781936459,1460.0739290923127,1459.0627342718067,1465.8222346847288,1477.676189819792,1493.405058395172,1513.4863768968287,1541.2596341349908,1573.7724680204844,1608.6906916010153,1640.5705647421846,1666.047470611424,1679.910693876994,1687.7440119057726,1695.0369630492844,1704.0220219692349,1716.6028286849532,1730.574764306974,1750.3926750272121,1774.0976774886194,1799.3113588144786,1820.8022139408329,1831.4689520108436,1832.684952917901,1824.4152251358391,1815.548294338346,1808.7580607894274,1808.934672319292,1813.8011990967716,1824.3630005783803,1834.1686149140924,1846.4467444486895,1855.5381316304545,1864.5911242991845,1868.5228724596175,1869.4853962550346,1868.0070541307903,1863.379597086241,1858.7364583624217,1856.87851647664,1861.8748398484129,1870.545006160828,1882.4116233275427,1894.5819265539965,1905.7557081726382
394913,1,"New York, NY",msa,NY,2408.6631659016084,2422.556559658194,2441.4638112262032,2465.6873084227045,2486.3880282067403,2505.8146821142614,2517.885805286678,2528.5192825009685,2532.632657524724,2530.660353131014,2519.186593646135,2507.002962435398,2500.880388954476,2503.7515161534075,2513.0316351574284,2526.621688315548,2543.0157308334674,2558.8900037863914,2574.013157592139,2581.5786419589112,2583.411501336963,2575.0074550034324,2565.3094432095695,2550.6905046089732,2542.605324118268,2540.241684406384,2550.572751995354,2566.5023710348787,2587.4128365314486,2605.6821572906865,2618.611795271381,2621.8672750570913,2615.1858247126825,2598.0335157824593,2579.90581291845,2567.0588262878023,2564.2797038822146,2570.8828897217627,2584.584560413982,2606.692187507357,2627.2596326406197,2647.483922366842,2661.0344422096555,2671.2209069744895,2671.690443322792,2661.182360956662,2648.088799158726,2636.003697369584,2636.2332085959506,2644.9204954106117,2659.323480162361,2678.5215665809096,2701.0367303096136,2726.031002624482,2744.3803760487262,2754.7945108118015,2756.5600398776683,2748.486257940328,2734.931313899121,2722.0006730014793,2721.9515597578556,2735.1709140128764,2745.2411618240703,2734.284741769744,2711.045721264934,2682.4697153722564,2653.180864749301,,,2489.2828781690496,2450.9968275244755,2434.5577777746157,2432.6710521620284,2449.347514568564,2473.4173808820333,2506.338854194901,2555.0449384922686,2615.3313892438873,2683.4610111318975,2748.3829984045856,2801.256818285439,2835.082718468748,2859.5814592927404,2877.499569305799,2901.858979326418,2931.994615936994,2972.818955583995,3017.000358439094,3074.645110981479,3135.847500529766,3192.593512819063,3223.7794480116804,3227.5454066864977,3206.902844868775,3174.0073779721934,3151.3697657205876,3147.5161566836364,3159.5889827686397,3183.53120727263,3216.1598332989897,3257.0949668511253,3293.5124701514364,3321.0870393182145,3332.15165436556,3333.430015667687,3318.2886409437147,3292.5031774050904,3267.980812519074,3265.8690111984815,3281.59014451638,3313.1828640458452,3345.1938135256487,3381.796725343554,3413.8226825099878
753899,2,"Los Angeles, CA",msa,CA,1720.4492010237834,1733.7790906451223,1752.0287446819411,1769.4199428714073,1781.3771784980922,1790.2343751078115,1803.3767959111676,1817.5758604777354,1834.0323142087238,1842.5484382139973,1852.952840331847,1858.1078778903834,1866.9524535457233,1878.272853209077,1892.0181601091629,1901.65781268263,1911.7474062869537,1923.0839726720267,1940.0705390249173,1949.2289392049602,1957.4961266532878,1964.280097552375,1973.2853349278812,1981.831999091655,1993.8532288557017,2008.6243581990066,2027.6213310106734,2039.6307107597477,2049.9204210315365,2058.2053396391802,2069.209174349822,2078.24490839186,2084.4969077554847,2086.623331880699,2089.5337180226907,2093.07236216146,2102.8139991228,2113.1169001541384,2122.9016259216323,2130.275628460408,2137.8892286615855,2149.8992615752572,2162.5203883344693,2175.8664604989444,2181.733862539817,2184.4729914431,2184.229277874229,2186.8635270190107,2189.703043854196,2195.7775867259024,2206.3794880746314,2217.5530883198044,2225.41119419688,2234.639511864138,2241.9458729471685,2252.1361708177405,2257.200694779758,2259.6454182586176,2259.647455671832,2259.6645920932674,2263.8178570788673,2265.708628953323,2262.531069060567,2246.5570988049158,2228.3078694517217,2214.4727893544273,2208.1079534763976,2204.8369402448784,2201.470340488182,2200.3857963948512,2197.5909115607656,2195.5949107268325,2201.473650438302,2211.354037351898,2223.654475177084,2235.11620810912,2254.639874411616,2290.791406736958,2340.284383165483,2397.113570808011,2441.0798152977145,2467.775779266879,2481.1973376356104,2495.722119408949,2511.7149460143382,2534.3049982470566,2556.814583505677,2583.7059384958193,2609.3581567370143,2632.762032748553,2654.7844196084957,2670.8823215377724,2677.1769626338973,2670.2375723805367,2658.739411988859,2648.6941104072985,2643.8479648454704,2647.8884206114835,2658.1603712263804,2668.793639245531,2675.7687846439458,2681.7565027875085,2693.1091487113545,2704.3982747637833,2708.7166894982397,2709.2738355798238,2694.388026476815,2683.0125024692247,2679.006792425417,2687.5200918153405,2702.296719099995,2709.9138069376804,2723.02824592671,2733.3808934518547
394463,3,"Chicago, IL",msa,IL,1455.1239695241798,1463.7291585868757,1473.5636380865474,1481.3520945684174,1491.6106402285095,1503.579241095517,1509.382501967803,1513.6185511731464,1507.5373433177529,1501.1232536161344,1493.3564722602114,1492.2829438831277,1502.798986806653,1511.9036965089706,1525.9164282591369,1532.2563073642864,1543.0169562771928,1552.5117973630045,1559.5655889424447,1563.9006354461317,1555.8026278391649,1546.0697021980848,1531.644781935228,1525.415767166472,1529.1108872725774,1545.2348071539548,1565.1426072612762,1579.860600000919,1591.401728862838,1597.2289728970181,1598.554971389667,1591.8568315360096,1583.8018262889336,1572.0762090030175,1563.7279814702272,1561.4593407038049,1570.4579479487634,1583.0662012455673,1597.0669126661144,1607.630967630187,1619.031738020945,1628.1533968510505,1633.0636974404988,1629.629811824468,1616.597430636476,1602.9596488414645,1594.847306048314,1599.6211952328,1609.2150623449481,1621.071103106521,1635.2730618539222,1649.6067358926102,1662.299674327528,1668.9150017813947,1672.0772091461984,1671.2669710479765,1665.786502558132,1656.415543647984,1648.19932706161,1642.0182630868412,1652.2810237562899,1665.0552676659197,1680.402373122695,1678.6401404658009,1673.9559240661706,1666.9772548550345,1663.894480881736,1654.9205348104829,1637.565520502148,1611.0004616922236,1588.9342019817334,1578.188906112582,1580.9376095872988,1594.3129229830245,1614.0555190559585,1643.0765755703512,1672.331086365264,1700.167508570016,1720.3750251103909,1733.3747215856642,1738.681013501256,1736.1140873730599,1734.587233175147,1738.8946272586304,1752.6902767663266,1768.9153160873936,1790.2357718899264,1814.885849681824,1842.732849666091,1864.938956044992,1883.443599686731,1890.6915332458752,1890.5996143961895,1885.89231711601,1879.4226351271716,1879.120412650489,1884.8263772740725,1900.4404989693724,1919.0662335572656,1938.2459816245855,1960.7402925184408,1980.283747709138,1991.814189712539,1996.8021562256479,1993.1427866965562,1984.7611761762778,1974.6580320794155,1974.6720275000205,1981.9508712102088,1996.085041586814,2010.2226331056538,2032.5215575328011,2052.6033811131592,2071.8900742020633
394514,4,"Dallas, TX",msa,TX,1059.890068424483,1059.4187028460578,1064.2852962149643,1077.7256778760539,1087.5215850668815,1098.4912863586094,1103.9166684312027,1107.878570965707,1111.6223043973293,1115.5444859320844,1122.9238168880543,1132.733859877863,1128.919681367623,1128.8204414777972,1134.4586555998953,1154.5185207615364,1166.4337374066138,1174.2597234190246,1175.3381569098624,1182.3309101157574,1184.7678647320674,1194.7282071962816,1200.568103745155,1202.8872155929437,1201.2681988103252,1199.5295075574895,1213.7328383821928,1222.4644774348408,1239.3063639884742,1243.7090022357554,1249.3460976321637,1248.3098411835276,1245.2506940347687,1238.7834974370796,1240.2767296104914,1236.4020063665982,1242.8477397638308,1246.6728371341624,1255.993976376013,1259.7937247365487,1264.0338055711072,1273.048988584384,1280.6729141082876,1282.8440970735144,1275.713963424751,1277.1988962463322,1277.0862565107836,1279.8226678133433,1278.7881451915098,1281.0080560678316,1291.9358319136509,1299.6374177371265,1307.1237510983703,1315.487028744217,1321.8274933728735,1325.3007161177104,1323.8455015413028,1320.0796050797642,1313.7535335256748,1306.1420407844412,1306.086552853133,1311.8277992349283,1317.6194739585537,1314.6488086279835,1308.3017705601355,1304.5318921876801,1305.2937088144522,1307.4178567701179,1307.378390639493,1306.601450869446,1304.241056018706,1305.3283753063808,1309.503512692668,1318.9037722908986,1328.5624837555974,1347.365213572989,1371.9510668838257,1406.2547222490066,1441.6573953570985,1474.5995900282849,1499.7057092434843,1512.8443693940685,1524.7655606222384,1533.490498051984,1544.0601902670555,1553.964873230339,1564.0771786968924,1582.8900738800571,1605.4250307264606,1636.7946763700434,1659.2947990482191,1668.1571794663953,1662.9920058699574,1645.7147191154736,1632.0636914908243,1617.363434917511,1615.5245942180582,1615.5314949929386,1623.4262280998182,1625.5703518779171,1630.514840020898,1633.6402773622312,1639.658288426469,1640.9286513643451,1638.085435585193,1632.0372347724553,1624.0533305819147,1613.8389868625368,1606.2165377000265,1599.5955159922864,1599.3962041060463,1601.119982211617,1607.6978922214291,1612.2854276518021
394692,5,"Houston, TX",msa,TX,1178.431950258277,1182.3937996706748,1173.392957934353,1183.7446706639566,1195.9193579874766,1208.4801267319283,1214.4712617838456,1218.663012568763,1224.0896866121082,1214.761126108418,1210.5281975907676,1211.6304614586336,1212.2633007921,1217.7940627314051,1230.7430634166096,1247.0222327370063,1255.0703823900833,1248.577644041718,1246.481165265368,1238.7971768025677,1238.861846883994,1235.9269937894057,1231.0563410407126,1226.6388688170098,1221.0783219480816,1232.7142366538135,1236.95427006565,1234.0815482395674,1239.5003194444623,1235.0472647963618,1234.679822190768,1220.536986849321,1227.7509202064625,1241.6506007541152,1264.41923334834,1279.89361895571,1280.7733195878648,1282.6868626176156,1279.0836262318437,1288.6526888495243,1287.328106404903,1289.8034485985668,1288.098696061243,1285.4138556505534,1280.3441776741201,1283.362296343841,1286.9984683606037,1286.2185601596238,1281.1769050615067,1276.184092467914,1281.0905432252882,1282.9182838119316,1289.5766486778605,1294.6566006495636,1299.7306265346901,1299.9108080079084,1295.1479867401858,1293.3740651274513,1291.6986186728548,1295.0641879285756,1295.3081961117339,1301.6541156534665,1303.543495959348,1295.9912336814768,1279.2323645835613,1267.2303541262174,1266.4409064574697,1269.358985772509,1267.4205934683935,1266.9342652062314,1266.7978325308686,1264.1025060505135,1263.3959850986157,1262.3186650378934,1271.0245283168126,1283.2965648172253,1303.024817057097,1329.7444469971747,1356.4411226556608,1380.7962801128335,1394.0984182598597,1398.9520086884986,1401.2698746181684,1402.1469844869623,1406.8871993614966,1414.8140959098857,1425.2370624980158,1436.7168035518046,1447.892630867971,1461.630939295599,1472.9888881693817,1478.6883782039517,1475.2862356979706,1467.9501910852784,1461.1168262379265,1457.1808474646225,1461.5083586241008,1467.1284411824483,1477.3262513510488,1480.9294665353027,1488.3719798559036,1493.1749925868066,1495.7209875576993,1494.9972797473426,1490.2196170431341,1486.555023306427,1481.7557627421247,1481.4375511138903,1481.6539573328919,1481.5220231062167,1482.0719853519365,1488.1428592741704,1497.9420601505399,1505.7398042322286
395209,6,"Washington, DC",msa,VA,1777.62506784186,1760.9638460687931,1761.0483020476295,1768.775215001051,1793.7207002805435,1810.0621796568805,1821.4444989784424,1820.4326214612095,1828.6453140558517,1829.4247488626502,1827.9293579597984,1818.7746072598147,1813.7870822036743,1806.0266719333597,1810.7343111180246,1823.888660544097,1841.2040454875996,1855.4580267397607,1863.9730051205333,1863.4881255470568,1857.897012382125,1843.6104366198642,1837.01168516277,1832.403964251363,1841.7791895243035,1858.7722616000297,1870.59535914308,1879.031131271897,1880.9455149485038,1895.6659972951488,1900.3493902103303,1900.1555842569965,1890.2205752003006,1886.1227518714354,1872.64867862852,1861.442175344556,1856.9344817136375,1865.6815568982217,1883.609901992553,1900.1040266291975,1913.363685685263,1925.351485913314,1933.641228391753,1941.4612855136052,1936.3024438646,1929.9150738924752,1926.8881997356032,1929.5053649225908,1934.6175537764975,1937.29233094722,1944.7041143631982,1955.027293116913,1971.4953624904306,1985.223702327021,1993.7938763084644,1992.8245826877073,1988.8791488947402,1978.6628981768176,1969.3442335654743,1969.89707607231,1974.6049972597273,1983.552737266701,1986.624872253137,1979.237764464803,1966.653727881274,1953.574080067328,1946.8985887270571,1936.743965710631,1915.3567006396866,1892.162440590448,1863.6439728017922,1852.755817436823,1853.9283934740658,1867.568563356142,1876.887813632595,1892.3914796801498,1921.4896056125044,1964.2364514057788,2007.2146860052183,2042.7126943443393,2064.3890682518154,2073.7647051619606,2071.9382553665337,2069.1072919018516,2067.7482613679354,2075.8288161571445,2091.7611411796674,2114.7911406437247,2143.0580429011993,2173.0657487862372,2201.4416191063538,2214.8934553999948,2214.022313520697,2195.817663768425,2176.5285267446984,2158.3351164694654,2155.7657239454215,2164.0267185414973,2182.8217526931335,2199.8929329792118,2219.208238471458,2234.3571679144707,2249.38055487756,2257.8756673748685,2263.6268625752114,2260.9081047967406,2255.672907921083,2245.961533708513,2246.836232845229,2258.0136280313764,2278.1583484530083,2297.2529680328976,2315.6650843033826,2333.6002836129824
394974,7,"Philadelphia, PA",msa,PA,1296.0706763975477,1298.3848090386493,1310.8685080532864,1317.117548623613,1325.5703448279673,1330.950963789463,1334.4919014592206,1336.1345408526597,1330.4699603203123,1326.945377575474,1326.0164477487497,1321.4649011807335,1323.1776465722635,1330.6143291458852,1340.6706803279983,1351.459000663565,1359.687166531815,1369.825507086638,1370.4543334680343,1368.330573587787,1368.0442337292989,1363.0111102831538,1365.175607973112,1358.2254388616595,1363.0313714844538,1368.0806878483365,1381.6279781490732,1391.5607121278038,1397.2210946232444,1401.5213036470586,1401.128376233329,1399.954530473462,1394.8777270466276,1391.2538499332288,1387.0532198663552,1390.8996544657418,1397.1582937951941,1407.0568322815238,1416.7857071936314,1424.822394336989,1432.3080345733194,1437.7805744427492,1440.7530538919882,1441.2624518101816,1437.1822382700161,1434.9675398072848,1438.0382907730952,1436.846135550252,1442.7666224092684,1449.1290604852827,1466.6587208616286,1478.1508531363882,1484.377408120696,1492.858808583038,1497.9143875462419,1498.2425957047215,1492.1071694927173,1488.2022053590206,1488.5633747895859,1489.4791932284763,1490.671220265155,1499.7937580430162,1510.0755977723068,1511.9103504332145,1507.2025048371738,1504.1327250067945,1507.6687001205935,1505.338691860571,1500.259367574118,1497.3445351167825,1494.9692685555708,1496.2303589711346,1497.852572570096,1504.2953850551758,1514.6521338173357,1532.3314472056602,1557.2783828398756,1580.2161538807352,1602.27098469244,1620.690858720306,1633.6804778323242,1641.9257891103355,1647.3431573632615,1660.1239817202973,1668.4125089277243,1681.5108542918474,1691.5784521024057,1707.0197455539317,1721.511316483152,1736.727671830212,1749.2752531064857,1753.8007014199038,1753.2270760213567,1745.7465133673027,1739.7220518888328,1736.0843520832088,1739.0337427808115,1739.541168078125,1746.588734571639,1753.953531005648,1767.6126031728766,1771.127365039327,1777.743102531259,1783.7344108207847,1793.2574684631343,1794.4235628918968,1792.7985737737717,1786.9742621523085,1785.849221649337,1790.8016164365943,1800.5114554498682,1811.2556250499788,1818.6374901831164,1827.9354884589704
394856,8,"Miami, FL",msa,FL,1417.067371447274,1429.2785551026166,1438.0126846060791,1445.0893735253035,1449.1963041117867,1450.9273402728682,1459.5822519435949,1472.863665059492,1487.9088715739665,1494.2237270543812,1498.5041430924894,1492.910006203598,1504.0788745657896,1512.3031340548453,1531.485012199502,1537.3476086288754,1538.8013157056655,1534.6834230129375,1534.8657989821465,1539.0918286172334,1549.1344635152388,1549.3637075358708,1555.0333181563235,1552.3267739251664,1562.0848883326735,1565.5413820897613,1575.8054811211705,1579.7859881354511,1581.7631413593526,1583.3993002578557,1585.8726508373052,1591.2629438269223,1596.8885229371049,1600.5638839717024,1603.2040950935402,1606.3747291153757,1609.269578770258,1614.0210114557497,1614.634665367295,1618.9862092573417,1621.8631507581874,1634.1381355775354,1641.3019459606342,1645.7279339769968,1646.2148548798834,1653.754571671594,1665.5821755591733,1670.80268257608,1674.009846004583,1672.45290386707,1675.9203640839637,1675.95322591162,1683.3142015727333,1688.7237591586845,1695.2785976231721,1695.6478259004978,1700.073446542172,1710.0711636411106,1724.283126103013,1737.7667405284135,1744.7850219085628,1747.8278155540117,1748.4041865737026,1738.7789666684096,1727.070269532752,1716.4344255963447,1715.5694169958954,1716.8860094780393,1716.0315446502354,1724.8964661444893,1737.2935653763823,1753.45658675801,1768.874693037771,1788.337763398601,1815.060625779157,1844.4467426875697,1887.5448072631598,1938.6938707013096,2008.1893855221656,2075.4623714553213,2137.5452157241507,2186.2559503474636,2225.5735946380473,2264.416726218239,2295.38501152592,2326.135311108633,2357.9613134369924,2390.5536437811465,2422.909693216134,2448.094613298985,2467.7182182449947,2471.2712658086366,2476.0635556149155,2475.5523666079016,2482.2079406483113,2488.024123117021,2491.1063995923723,2499.894671682548,2503.843822381421,2510.3708889062173,2514.0642988812024,2518.2508098651956,2521.4718764120876,2523.1364498745443,2524.9618202632582,2536.2434795322865,2541.0044887690815,2542.7480295160685,2539.293419589884,2552.416412542326,2560.6265873872376,2574.684942961211,2576.021777995545,2583.052773548949
394347,9,"Atlanta, GA",msa,GA,1035.7419788652105,1043.527758315405,1044.5156273180983,1065.2536656429168,1068.9169064956577,1083.436179061454,1087.6476350086941,1089.6434216312502,1084.092612418643,1085.9846474206813,1102.8604323104455,1114.946935982671,1118.8987228896772,1120.5880371193834,1136.132696180893,1147.7857372396682,1159.9975497392968,1165.9192932271653,1178.1263595173455,1182.0414948386094,1183.6814503524151,1187.4280821066347,1189.7580826836,1190.9100759856717,1195.358266916477,1208.2270024649692,1219.6589426805047,1234.1469258650088,1242.786266133358,1253.3580306381887,1256.3206005253808,1257.5072526991628,1263.0124364973565,1265.1414673348543,1262.1598050228497,1261.1358942319887,1267.205884672667,1280.3776889622368,1290.2482264271493,1300.1934733414057,1311.393590393112,1320.2274178421007,1327.1989132432338,1332.466083212857,1335.7043339139452,1343.457194186383,1345.439538922858,1347.080648615241,1351.05213157426,1359.9706587078692,1372.7028012289775,1379.751160191454,1384.4258240453325,1391.018497892268,1395.9879767299617,1402.5410921209661,1401.5179322044605,1398.9640278246663,1389.413801584743,1387.6235949326658,1390.7315057419926,1402.1519392007592,1403.695316631678,1393.4955002541355,1380.635040490987,1380.2088234043097,1394.6460776845233,1405.2475432943804,1411.0987283085135,1410.926640175767,1413.0710226743872,1415.9223249088755,1423.523302300861,1435.6040397806269,1450.6713865315496,1473.8635906170205,1506.4805883055835,1551.954126709206,1604.8126832673497,1657.0035890282143,1694.0406551136878,1714.9914668077245,1720.0549187511594,1719.7554118529779,1719.0906535045337,1722.4142533661802,1732.7530191123576,1741.6489019698893,1759.066332467924,1780.7532715916677,1805.9841654184172,1816.7587585665383,1815.245255144428,1796.8126352388144,1779.1233226010108,1760.4088380978767,1755.3009306958093,1757.8621785630116,1769.11224809158,1775.3650036861725,1779.477333051442,1776.6388091557785,1775.7420310071464,1773.3387128408979,1773.6206151815811,1765.412594270243,1752.833278203211,1735.2073257969635,1728.36946238537,1729.127908746383,1733.7226449974937,1740.3843592593212,1747.044376348802,1750.1155641489938
