RegionID,SizeRank,RegionName,RegionType,StateName,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31,2023-01-31,2023-02-28,2023-03-31,2023-04-30,2023-05-31,2023-06-30,2023-07-31,2023-08-31,2023-09-30,2023-10-31,2023-11-30,2023-12-31,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30
102001,0,United States,country,,13971.286125304103,14203.005540308162,14600.873647532617,14840.815077269472,14752.925731382757,14446.901198328767,13714.990820296947,13199.285812992397,13648.209668174743,13475.26566452382,12732.484015759628,12505.730173049069,13560.500880062435,13623.431880528631,14185.460541101573,14552.838689417677,14674.583584328313,14421.99212661296,13831.551619274038,13318.581022869248,13727.659382871007,13001.547507913669,12463.761847361895,11962.138583434657,13567.716238461991,15830.186705202312,14588.096209758698,12927.856784336638,13976.393602884851,14955.198465091209,15992.089274073325,16396.581716558285,17045.272227392896,16713.9799243773,15909.683315067457,16279.269551207777,18435.693979401152,19651.94762755462,21535.517995252147,23546.428344285185,24205.942953134316,23222.81472390712,21373.984921529038,20058.03602117074,19778.336275992646,19043.370840890064,18176.895327755887,17277.746199234123,19984.477743907468,23349.12247010036,25444.99025775779,25362.9368373272,26366.789294240243,25636.61119072321,22715.61048350034,21015.870237240415,20484.176735960296,20320.68499637175,18989.66261606273,17760.944919865873,19418.55928046424,19973.902908705197,21306.711187080535,22052.60014747221,22888.952433346647,22311.809382541614,21717.75680916916,20584.1325220747,20152.819582251148,19653.010758814857,17967.516461566618,17276.21815035398,18435.986210217954,19086.93362165578,19853.915462277568,20488.325839959904,20796.74676128787,20612.98975480921
394913,1,"New York, NY",msa,NY,33153.91069723018,33593.27944174377,34921.078571428574,33160.524605290135,32448.38641154532,29767.952933353037,28724.627525344615,26952.65163839182,29924.999699338543,29128.689283978056,27557.19114604882,26946.464468447983,30010.19541932543,28753.367596918804,29470.885920436816,30863.640780630012,29404.146137380812,28270.583905295636,26797.94957815718,25298.06770349737,29137.24579949594,27495.060204695965,26502.612048479088,26943.866624122526,28656.3511549442,29853.981920415226,28816.55613289246,26290.97625830959,28665.669392523363,28097.47510524024,31665.626728674582,32743.656828020463,35936.651052631576,34742.451843347364,35398.75482803016,33993.057594747836,37766.77949134199,40104.6186299081,42236.486909419196,44342.66491043203,42014.26735395189,39502.70637263414,37537.374900849856,35293.030041106715,38062.87807777212,35336.27121374866,33809.39777657267,31546.635161606268,36986.24171090047,,61624.78993506494,42155.90121580547,44002.574869207005,44018.182341381245,38686.7639624949,35402.046570802915,38537.83384346305,37789.99303861637,35610.65512323613,34312.3473989899,37682.73386651958,37565.427296392714,45856.01862556198,45970.91394025605,50066.88599824613,49495.41994382023,47061.024917442206,46977.58076627219,49797.126578645235,48764.83913150753,43849.88347439435,41801.318181818184,45943.8708668454,50026.18554778555,53213.038509836755,54071.407636738906,58448.58744884038,52747.7361695171
753899,2,"Los Angeles, CA",msa,CA,52248.91364902507,46413.571097372485,46761.82771194166,48364.301515554376,46056.34613003096,43059.83465022162,39556.46807432432,34582.194923713105,38861.19285932255,39453.07148783186,38962.11551630925,34979.98270676692,41890.69924141008,39536.46131879543,41184.3943980122,43846.280024509804,43348.659484281176,43420.88056610287,43253.16049382716,40696.6137177956,45011.65713755337,43080.44812272911,47261.71356625747,40575.721951219515,54969.438566552904,67079.16224489796,54781.09497206704,44265.26660341556,42292.13678717853,52713.88667582418,58162.272506925205,63987.587323458494,60622.60447761194,56956.93149001536,58051.320479862894,61577.458627325206,73955.14877589454,75056.26287471176,81997.77757009346,82676.48987341773,76638.85649054142,77331.23382820784,67437.83612440192,59481.21781033153,58846.674731962914,64493.6075345732,60285.613543091655,57257.04488778055,83871.6116751269,84200.81783919598,75144.28177257525,72865.50418160096,65069.12487064505,60629.987484612226,51724.472693580414,49987.48461538461,50516.97582206406,51961.490909090906,51314.53951219512,46371.03553299492,58079.8355314197,64371.98085106383,65519.792195121954,75167.81618989653,80787.26822778073,78281.11684655091,81479.62959050722,69226.71821442805,72087.88420216886,72685.48351681957,61424.67766599597,60796.817246835446,73656.44256940664,68970.30215827338,68437.35390946502,80263.6018237082,74967.11741554608,72198.9381504609
394463,3,"Chicago, IL",msa,IL,11792.165817670824,12886.752636447734,13080.21555181783,14058.485146421397,13798.563312799452,12979.941088209745,12166.484526459395,11139.381412800347,11675.325024697926,10640.32195345989,9935.624276745046,9442.801445674271,11599.187869362364,12102.611381094215,12397.045208165147,13214.70764059235,13254.681639902316,12850.459367632784,11920.478666141526,10950.716443966965,11544.44631849895,10780.392919836162,9575.621379738968,8851.9576115753,11115.076856274425,13027.237464901726,11651.632285115304,10711.739636620216,11340.01250343501,12364.15885040885,13512.9248066627,13381.29280462185,13404.301859034373,12983.766862771925,11606.939218523878,11518.506168722908,13807.662084398977,15762.163942307692,18218.449541284404,18686.69712015889,18598.00855118495,17095.41283311002,14895.339213183242,13957.969310523587,13535.806735914384,13117.72217651898,11836.669438669438,10868.929411764706,12476.230943152455,14173.732184808145,17193.935754189944,17524.721379647748,18407.398239078902,16955.197920237686,15588.301858056655,13935.81767194726,14143.065792050127,13799.501288936628,12395.06950867052,11282.719555193924,13248.957466063348,14228.459688826026,15415.354465408805,17937.25214163335,18850.780888477555,18166.291281243848,17837.402206239494,17477.54767763713,16235.968136466045,14677.230838729107,13110.20302921024,11089.988124345093,13295.070409711685,15508.580097087379,16809.71400057029,18444.748591549294,19049.38715699085,18351.069955311104
394514,4,"Dallas, TX",msa,TX,12502.070909970958,12020.809907834102,13152.119940349383,13075.70275004379,12541.781798686503,11507.982053838485,10693.398693996009,9780.335786486965,10197.886641888937,10471.23032512914,9926.70151861309,9341.114945155394,10514.015260912372,10891.384063305117,11020.338139534884,11487.762814719174,11319.860979462876,10602.645966768774,10192.063321886255,9727.0509010989,10129.616193377224,9735.146656082556,9393.845450649907,8707.068142361111,9489.963268608415,11066.69023054388,10790.129459554928,9386.631126937578,10257.925660617637,11359.710422364024,11544.89665938183,11581.369684136227,12346.219474153299,13231.233497768382,13080.350301406565,12756.762720156556,14869.271604938273,15817.936647173488,17525.638719512193,19458.069506726457,21348.169459962755,20439.93050986842,16895.576834862386,17628.782588345424,17051.943631436316,16522.64132128389,17376.266472868218,16770.882175226587,18573.215136054423,23538.534653465347,21096.254767353166,22843.14249874561,23910.022264631043,22569.08499294339,18952.325791855204,17694.052876480542,15900.059087204563,15854.169578510591,15548.709623893805,13797.976,14861.468389735961,14027.022323830017,15961.763191763192,16908.62851782364,17862.736081804902,16387.185131001464,16323.07915407855,15483.79370706847,15332.85410478793,15443.856208413217,15181.79503536264,14360.151480376406,14137.685341123904,14360.599475151714,14093.747742323902,15620.775648655082,15816.313116073225,16522.76885644769
394692,5,"Houston, TX",msa,TX,14980.934619506967,13917.852032520324,14239.56196386202,14748.664084198217,13919.871865959498,13231.02987811455,12318.255908170155,11934.19525583219,13250.403704643491,13062.316939252336,12607.320771919161,12069.660401647785,13708.423082857584,12890.803994803508,12931.316957679786,13755.141132656992,13338.637191854234,12483.76839908953,11793.137550984986,11141.310953738619,11830.377921801955,11383.801346441547,11305.70761375582,10887.375028274146,11462.833282442749,13828.810201937667,13125.027166276346,12859.271828997782,12683.114860583017,12887.86470154753,12992.370160810005,12899.346781940441,13451.697343808455,13936.58803021499,13153.929157345265,14052.084086170951,15585.556803995007,15576.413549039435,17777.599704032556,19406.490058479532,20902.713621737577,20733.186406289627,17833.05398702785,17303.85648312611,18079.13895730706,17579.400379506642,17362.303543913713,16381.726503340757,19172.006669282073,19608.155216284988,19303.796274276654,21169.37792525323,21878.189181987742,19940.11835748792,17199.878405151067,16158.928856714927,14925.399485440299,14955.573066263543,15806.385459308989,14923.244887903424,15452.629254302103,15932.005099675474,16654.439273321084,17369.241039426524,17567.378796144752,16428.126961483595,16220.119523606976,15579.817047265002,15138.905528640638,15036.968065301446,14910.018771929825,14464.628991240463,14751.677985722554,15056.790466026325,14731.00347509515,15939.258262260128,15172.342990999876,14985.163429191536
395209,6,"Washington, DC",msa,VA,17478.967371323528,17704.602833638026,17329.92006472492,18074.623703319503,17862.2053428317,17365.329797133818,15939.680598090434,14198.78011635866,16519.305409466568,15994.394766780433,15749.72267412303,16221.136342042755,16300.856085526315,16750.321960595866,18049.925337020395,18488.4174205221,18450.155652002366,17905.16762232416,16494.98849206349,15072.67869884575,17444.012424849698,18070.359,15934.132537688442,15569.982530120482,19423.14553237025,23194.53514445882,20028.847605893185,17375.877772534215,18609.821598272138,22372.5784359093,24045.906037000972,22743.67278287462,21176.412363362233,18169.124455507157,17412.852640545145,18505.901810584957,24070.5008,23321.864545454548,21954.701766784452,27266.733532934133,26296.18169281978,23553.875504215852,20574.476768,18255.56154521082,19331.751522969,19317.265735721205,18539.13087378641,17553.122112135177,20909.001853612168,21172.584721074378,25774.627046263344,25918.957663451234,25962.667150067293,24341.690281055573,21849.88537782139,19543.194316802674,20088.60940574577,20636.187575195716,19965.66013528437,17946.200748805102,21512.541396283275,23485.473353115725,25486.708463949843,27609.466878824966,29427.400603925515,30314.54737358861,25754.42260450161,24531.17859124404,24155.2981727707,25236.926726804126,22180.57354117087,22515.70303605313,24265.55713020372,24516.72753211009,30120.431672025723,30104.080531125073,31099.7892635315,28474.185879537297
394974,7,"Philadelphia, PA",msa,PA,10582.365626572722,11127.916943521595,11644.055785574199,11281.926260799679,13798.784669479606,13194.587011821039,11968.795567948342,11264.318557475583,12684.742584745763,11802.017347580138,11083.315418956045,10643.451289833081,11043.452157197778,11110.130392156863,11891.353246214478,12812.319550115779,13644.481200816088,12601.439571874536,11743.967377666248,11536.547866009181,12550.297592003635,11967.579096045198,11061.319287576021,10147.366277010273,11933.738513896767,14572.622138992925,12658.3375373382,12256.511207970112,11831.479342158042,13794.344416027281,14984.396682188592,14515.945920303606,14902.16870144284,13942.698440643862,13853.4863934939,14042.557843137254,13938.765801077903,15152.685333333333,15139.257731958764,18359.964387464388,18543.3991394081,17361.31201826753,15796.405102040817,14381.650526843954,15631.114906074652,15142.586371064646,14208.470631330185,13329.843512763595,14350.094211123724,14790.173001310615,16377.074432251908,17470.67998263135,19698.120099564407,16943.690342080597,17055.174123946228,15132.556258486908,16222.612078877004,16049.990127248793,15178.956992378879,13361.922517193947,14232.079816272964,14812.93772496539,15719.00798084597,16423.10913375796,16698.666171407185,17386.765934461648,16722.25010246679,16411.47630577655,16310.317709923665,16784.61778135912,15324.6061789908,13791.257336343115,15334.363697916666,15121.439571647119,16435.847553628482,17441.368120359515,19701.746728249916,18583.28272251309
394856,8,"Miami, FL",msa,FL,27679.438070175438,26521.47223780146,26955.222222222223,26415.690033783783,25528.057857018004,23081.394109396915,20666.306685044798,19609.969101123595,19576.53086419753,20776.277722419927,21226.003154050464,22746.66979190487,24023.00739566825,23863.47374164507,23238.428224828145,22868.8299512987,22425.49013484741,20716.09044988161,21200.70779220779,19933.426740252806,21312.525438148714,21408.78694427051,22768.43383330169,22196.95617433414,27076.503104547744,30781.147819063004,26428.51485943775,19887.117578916885,24131.748058252426,22982.84482306684,24149.456686291,25480.45197577156,25738.443265830923,26496.918822768435,26079.450765864334,24917.53093462045,31833.064198369564,26291.651918976546,33740.94994712104,32764.783841292134,36890.238402061856,36094.10898760331,34618.33872340425,32532.66948858833,33044.757616487455,31373.331436699857,34835.840576385,31881.463643471463,38565.33545310016,49743.25147347741,55231.91449513837,53107.73115409005,56968.630543771695,54892.620180157945,43295.518346377685,38645.783719428684,38622.46987704918,38000.828044280446,37006.44952810833,39239.368674698795,43042.12738468049,46286.97175836329,46654.66904919845,49850.35621677598,47865.27091885065,46040.804070796454,43599.86964116452,41263.31045050567,39361.73286238015,39291.36038027857,38347.743198096105,41536.256843528216,41215.131602,42263.43101243685,42436.67520215634,41846.07091838533,40448.34988255319,37032.01919014085
394347,9,"Atlanta, GA",msa,GA,12461.39240506329,13562.690829214716,13844.176857330704,13701.102072141213,13499.253532060238,12920.64244954767,11458.03606225484,10999.643532368074,11025.0150801131,10811.701070612295,9612.982915360502,9195.144581221337,10320.916893079751,10878.289218281277,10912.26406045633,11158.794099024946,11503.612478031635,11100.280787653008,10655.585440769939,10144.49796871826,10030.218802698146,9597.501624908271,8905.203351449276,8619.78771813563,10069.368156705174,12232.644925499017,12027.740056022409,10209.07502569373,11554.634697920106,12214.851510941298,13415.52427184466,13470.995906936665,13892.927294685991,14232.35495135944,14294.575510204082,13960.628256513026,18045.806554392355,17659.006165228115,21636.184749232343,20892.57060240964,22557.941552511416,22228.93856998993,19647.941280241936,20196.249105774143,18777.54026754027,19086.819123741858,18213.424684542588,16681.235849056604,17830.047340165933,18944.581097560975,20154.59787422498,18630.59705248023,21443.8525606469,19938.609813874788,17111.057102345967,16415.503282532238,15412.380138112463,15129.834421161113,14902.206201313578,13281.596292729899,14398.15386100386,15260.48674101611,15588.233007334964,17926.503125930336,17520.59437646446,18599.37674919268,16998.04397967162,15890.921268257927,16044.256172839507,15947.003492617876,14911.536662925551,14814.655509946322,14759.004647045807,14267.180492053125,15670.427353665467,15166.70891430362,15584.397555142174,15742.481116389548
